Nome,Club,Stagione,Overall,Ruolo
S. Fofana,Udinese,19,75,"CC, CDC"
S. Cristóforo,Fiorentina,19,75,"CDC, CC"
H. Hateboer,Atalanta,19,75,"ED, TD"
A. Grassi,Parma,19,75,CC
M. Locatelli,Sassuolo,19,75,CDC
A. Conti,Milan,19,75,"ED, TD"
G. Ferrari,Sassuolo,19,75,DC
A. Meret,Napoli,19,75,POR
R. Mandragora,Udinese,19,75,"CC, CDC"
O. Colley,Sampdoria,19,75,DC
M. Lemos,Sassuolo,19,75,DC
Felipe Vizeu,Udinese,19,75,ATT
J. Kluivert,Roma,19,75,"AS, AD"
D. Padelli,Inter,19,74,POR
S. Floccari,SPAL,19,74,ATT
M. Andreolli,Cagliari,19,74,DC
J. Biabiany,Parma,19,74,"AD, AS, ED"
F. Đorđević,Chievo Verona,19,74,ATT
R. Meggiorini,Chievo Verona,19,74,ATT
Da Costa,Bologna,19,74,POR
N. Rigoni,Chievo Verona,19,74,"CC, CDC"
L. Sepe,Parma,19,74,POR
Rafael,Sampdoria,19,74,POR
A. Ioniţă,Cagliari,19,74,"CC, COC, CDC"
D. Falcinelli,Bologna,19,74,ATT
B. Nuytinck,Udinese,19,74,DC
J. Obi,Chievo Verona,19,74,CC
F. Bardi,Frosinone,19,74,POR
F. Đuričić,Sassuolo,19,74,"COC, AS"
L. Crisetig,Frosinone,19,74,"CC, CDC"
B. Dabo,Fiorentina,19,74,"CC, CDC"
I. Strinić,Milan,19,74,TS
K. Djidji,Torino,19,74,"DC, TS"
M. Wagué,Udinese,19,74,DC
M. Pucciarelli,Chievo Verona,19,74,"ATT, AT"
A. Ciciretti,Parma,19,74,"AD, ED, COC"
V. Laurini,Fiorentina,19,74,TD
D. Lazović,Genoa,19,74,"ED, AD"
J. Musso,Udinese,19,74,POR
A. Di Gaudio,Parma,19,74,"ES, AS"
I. Pussetto,Udinese,19,74,"AD, COC, ED"
E. Goldaniga,Frosinone,19,74,DC
Á. Nagy,Bologna,19,74,CDC
Pol Lirola,Sassuolo,19,74,"TD, ED"
B. Cesar,Chievo Verona,19,73,DC
E. Barreto,Sampdoria,19,73,"CC, CDC"
M. Pasqual,Empoli,19,73,"TS, ES"
F. Dionisi,Frosinone,19,73,ATT
D. Ciofani,Frosinone,19,73,ATT
M. Gazzola,Parma,19,73,TD
F. Cacciatore,Chievo Verona,19,73,"TD, TS"
P. Schiattarella,SPAL,19,73,"CC, ED"
M. Sau,Cagliari,19,73,"ATT, AT"
T. Heurtaux,Udinese,19,73,DC
Diego Farías,Cagliari,19,73,"AT, COC, AD, AS"
J. Stryger Larsen,Udinese,19,73,"DC, TD"
B. Bereszyński,Sampdoria,19,73,TD
A. Acquah,Empoli,19,73,CC
F. Santander,Bologna,19,73,ATT
G. Caprari,Sampdoria,19,73,"AT, ATT, COC"
O. Hiljemark,Genoa,19,73,"CC, CDC"
M. Trotta,Sassuolo,19,73,"ATT, AD"
M. Stępiński,Chievo Verona,19,73,"ATT, AT"
I. Mbaye,Bologna,19,73,"TD, TS"
F. Barba,Chievo Verona,19,73,DC
Samir,Udinese,19,73,"DC, TS"
S. Simič,Milan,19,73,DC
L. Mazzitelli,Genoa,19,73,"CC, CDC"
A. Adnan,Atalanta,19,73,"TS, ES"
R. Krunić,Empoli,19,73,CC
S. Sensi,Sassuolo,19,73,"CDC, CC"
Gerson,Fiorentina,19,73,"CC, AD"
A. Ounas,Napoli,19,73,"AD, ES"
Y. Karamoh,Inter,19,73,"ED, AD"
M. Zajc,Empoli,19,73,"COC, CC"
Luiz Felipe,Lazio,19,73,DC
S. Lukić,Torino,19,73,"CDC, CC"
N. Milenković,Fiorentina,19,73,"DC, TD"
E. Hallfreðsson,Frosinone,19,72,"CC, CDC"
D. Maietta,Empoli,19,72,DC
C. Molinaro,Frosinone,19,72,"TS, ES"
S. Pellissier,Chievo Verona,19,72,ATT
J. Djourou,SPAL,19,72,DC
P. Kone,Udinese,19,72,"COC, CC, AT, CDC"
F. Ceravolo,Parma,19,72,ATT
A. Matri,Sassuolo,19,72,ATT
F. Peluso,Sassuolo,19,72,"TS, DC"
Thiago Cionek,SPAL,19,72,DC
G. Angella,Udinese,19,72,DC
C. Pinsoglio,Juventus,19,72,POR
L. Ariaudo,Frosinone,19,72,DC
F. Pisacane,Cagliari,19,72,"DC, TD"
V. Belec,Sampdoria,19,72,POR
V. Regini,Sampdoria,19,72,"TS, DC"
J. Sala,Sampdoria,19,72,TD
M. Büchel,Empoli,19,72,"CC, CDC"
L. Ceppitelli,Cagliari,19,72,DC
N. Murru,Sampdoria,19,72,TS
J. Dezi,Parma,19,72,CC
Patric,Lazio,19,72,"TD, DC"
D. Bessa,Genoa,19,72,CC
L. Lollo,Empoli,19,72,"CC, AT"
C. Nørgaard,Fiorentina,19,72,"CDC, CC"
F. Ceccherini,Fiorentina,19,72,DC
W. Troost-Ekong,Udinese,19,72,DC
A. Cerri,Cagliari,19,72,ATT
F. Vicari,SPAL,19,72,DC
S. Uçan,Empoli,19,72,"CC, COC"
S. Perica,Frosinone,19,72,ATT
J. Mauri,Milan,19,72,"CC, CDC"
S. Scuffet,Udinese,19,72,POR
F. Mattiello,Bologna,19,72,"ES, TS"
M. Sprocati,Parma,19,72,"AS, AD"
K. Diks,Fiorentina,19,72,TD
A. Murgia,Lazio,19,72,"CC, CDC"
R. Orsolini,Bologna,19,72,"AD, ED"
M. Kean,Juventus,19,72,ATT
S. Padoin,Cagliari,19,71,"TD, ES, CC"
G. Pegolo,Sassuolo,19,71,POR
Bruno Alves,Parma,19,71,DC
L. Siligardi,Parma,19,71,"AD, AS, ES"
B. Salamon,Frosinone,19,71,DC
G. Marilungo,Atalanta,19,71,ATT
N. Brighenti,Frosinone,19,71,"DC, TD"
M. Capuano,Frosinone,19,71,"DC, TS"
Alejandro Rodríguez,Empoli,19,71,ATT
L. Krajnc,Frosinone,19,71,DC
Y. Chibsah,Frosinone,19,71,"CC, CDC"
P. Faragò,Cagliari,19,71,"ED, CC, COC"
B. Drągowski,Fiorentina,19,71,POR
E. Fernandes,Fiorentina,19,71,"COC, CC, ADA"
F. Costa,SPAL,19,71,"ES, ASA"
T. Castagne,Atalanta,19,71,"ED, TD"
R. Gosens,Atalanta,19,71,"ES, TS"
J. Boga,Sassuolo,19,71,"ES, ED, ATT"
V. Milinković-Savić,SPAL,19,71,POR
I. Bennacer,Empoli,19,71,CC
Lyanco,Torino,19,71,DC
G. Pezzella,Udinese,19,71,"TS, ES"
C. Adjapong,Sassuolo,19,71,"ES, ED, TD"
K. Bonifazi,SPAL,19,71,DC
C. Kouamé,Genoa,19,71,"ATT, AT"
Bremer,Torino,19,71,DC
M. Brighi,Empoli,19,70,"CC, CDC"
D. Dessena,Cagliari,19,70,"CC, TD"
L. Mchedlidze,Empoli,19,70,ATT
M. D'Alessandro,Udinese,19,70,"ED, AD"
A. Seculin,Chievo Verona,19,70,POR
M. Bourabia,Sassuolo,19,70,"CC, CDC, COC"
R. Maiello,Frosinone,19,70,"CC, CDC"
K. Günter,Genoa,19,70,DC
M. Dijks,Bologna,19,70,TS
L. Capezzi,Empoli,19,70,CC
P. Gollini,Atalanta,19,70,POR
N. Paz,Bologna,19,70,"DC, TS"
F. Zampano,Frosinone,19,70,"TD, ED"
A. Ferrari,Sampdoria,19,70,"TD, DC"
S. Luperto,Napoli,19,70,DC
J. Minala,Lazio,19,70,"CC, COC, CDC"
K. Piątek,Genoa,19,70,ATT
J. Andersen,Sampdoria,19,70,DC
M. Gori,Frosinone,19,70,"CC, CDC"
O. Aina,Torino,19,70,"TD, TS"
I. Provedel,Empoli,19,70,POR
F. Romagna,Cagliari,19,70,DC
A. Calabresi,Bologna,19,70,"DC, TD"
G. Mancini,Atalanta,19,70,DC
E. Rolón,Genoa,19,70,"CDC, CC, ES"
Ronaldo Vieira,Sampdoria,19,70,"CDC, CC"
M. Pajač,Cagliari,19,70,"ES, TS, COC"
M. Varnier,Atalanta,19,70,DC
A. Balić,Udinese,19,70,"CC, CDC"
M. Olivera,Fiorentina,19,70,"TS, ES"
E. Brignola,Sassuolo,19,70,"COC, AD, AT, ED"
O. Okwonkwo,Bologna,19,70,"AS, COC"
F. Bradarić,Cagliari,19,70,CDC
V. Di Cesare,Parma,19,69,DC
A. Rosati,Torino,19,69,POR
M. Scozzarella,Parma,19,69,"CC, CDC"
D. Soddimo,Frosinone,19,69,"COC, CC, ES"
N. Frey,Chievo Verona,19,69,"TD, ED"
F. Veseli,Empoli,19,69,"DC, TD"
M. Valoti,SPAL,19,69,"CC, COC"
Nicolas,Udinese,19,69,POR
D. Biraschi,Genoa,19,69,"DC, TD"
C. Lombardi,Lazio,19,69,"AS, ED"
R. Gagliolo,Parma,19,69,"TS, DC"
L. Bittante,Empoli,19,69,"TD, TS, ED"
G. Di Lorenzo,Empoli,19,69,"TD, DC"
D. Kownacki,Sampdoria,19,69,ATT
L. Valzania,Atalanta,19,69,CC
G. Gaudino,Chievo Verona,19,69,"CC, CDC"
M. Fares,SPAL,19,69,"TS, ES, AS"
H. ter Avest,Udinese,19,69,"TD, ADA"
A. Favilli,Genoa,19,69,ATT
E. Audero,Sampdoria,19,69,POR
L. Dickmann,SPAL,19,69,"TD, ED"
Pedro Pereira,Genoa,19,69,TD
F. Cassata,Frosinone,19,69,CC
L. Stulac,Parma,19,69,CDC
Rogério,Sassuolo,19,69,"TS, ES"
P. Sammarco,Frosinone,19,68,CC
L. Scaglia,Parma,19,68,"TS, AD, CC, ES"
A. Santurro,Bologna,19,68,POR
A. Vacca,Parma,19,68,CC
A. Sowe,Chievo Verona,19,68,ATT
Y. Baraye,Parma,19,68,"AS, COC, ATT"
A. Fulignati,Empoli,19,68,POR
L. Paganini,Frosinone,19,68,"ED, AD"
A. Gnoukouri,Inter,19,68,"CC, CDC"
A. La Gumina,Empoli,19,68,ATT
M. Svanberg,Bologna,19,68,"ES, ED"
J. Valencia,Bologna,19,68,"CC, COC"
M. Pessina,Atalanta,19,68,CC
S. Mraz,Empoli,19,68,ATT
I. Lakićević,Genoa,19,68,TD
G. Munari,Parma,19,67,CC
S. Aresti,Cagliari,19,67,POR
A. Barillà,Parma,19,67,"CC, CDC"
P. Frattali,Parma,19,67,POR
A. Cinelli,Chievo Verona,19,67,"CC, CDC"
A. Iacobucci,Frosinone,19,67,POR
B. Djimsiti,Atalanta,19,67,DC
Éverton Luiz,SPAL,19,67,"CDC, CC"
G. Iñíguez,Udinese,19,67,"CC, CDC"
R. Di Gennaro,Inter,19,67,POR
V. Parigini,Torino,19,67,"AS, AD, COC, ATT"
G. Moncini,SPAL,19,67,ATT
R. Zekhnini,Fiorentina,19,67,"AS, AD"
C. Dell'Orco,Sassuolo,19,67,"TS, DC"
S. Edera,Torino,19,67,AD
A. Rossi,Lazio,19,67,ATT
I. Radu,Genoa,19,67,POR
A. Bastoni,Parma,19,67,DC
L. Šimić,SPAL,19,67,DC
A. Šemper,Chievo Verona,19,67,POR
A. Donnarumma,Milan,19,66,POR
C. Lykogiannis,Cagliari,19,66,"TS, DC"
S. Ingelsson,Udinese,19,66,"CC, ED"
G. Rolando,Sampdoria,19,66,"ED, ES"
A. Plizzari,Milan,19,66,POR
M. Coulibaly,Udinese,19,66,CC
S. Kiyine,Chievo Verona,19,66,"CC, ED"
M. Barrow,Atalanta,19,66,ATT
R. Vodišek,Genoa,19,66,POR
Daniel Fuzato,Roma,19,66,POR
N. Opoku,Udinese,19,66,DC
P. Micin,Udinese,19,66,"AD, ATT, AS"
S. Iacoponi,Parma,19,65,"DC, TD"
P. Terracciano,Empoli,19,65,POR
J. Untersee,Empoli,19,65,"ED, TD"
L. Filippini,Lazio,19,65,"TS, DC"
C. Nica,Atalanta,19,65,"TD, ED"
M. Aramu,Torino,19,65,"ATT, AD, COC"
M. Bani,Chievo Verona,19,65,DC
S. Pontisso,Udinese,19,65,"CC, CDC"
Júnior Tavares,Sampdoria,19,65,TS
J. Rasmussen,Empoli,19,65,"DC, CDC, CC"
A. Beghetto,Frosinone,19,65,ES
G. Marchegiani,SPAL,19,65,POR
F. Depaoli,Chievo Verona,19,65,"ED, CC, TD"
N. Garmendia,Udinese,19,65,"COC, AS"
G. Magnani,Sassuolo,19,65,DC
L. Pellegrini,Roma,19,65,TS
V. Damascan,Torino,19,65,ATT
T. Berni,Inter,19,64,POR
E. Schiavon,SPAL,19,64,"CC, CDC"
M. Valjent,Chievo Verona,19,64,"DC, TD"
P. Jaroszyński,Chievo Verona,19,64,TS
M. Vitale,SPAL,19,64,CC
F. Dimarco,Parma,19,64,"TS, ES, ASA"
G. Scamacca,Sassuolo,19,64,ATT
S. Ichazo,Torino,19,64,POR
L. Callegari,Genoa,19,64,CDC
A. Deiola,Parma,19,64,CC
M. Marcjanik,Empoli,19,64,DC
N. Zaniolo,Roma,19,64,COC
W. Bianda,Roma,19,64,DC
M. Rigione,Chievo Verona,19,63,DC
F. Sierralta,Parma,19,63,"TD, DC"
A. Da Cruz,Parma,19,63,"ATT, AS"
P. Ghiglione,Frosinone,19,63,"ED, TD"
M. Tumminello,Atalanta,19,63,ATT
A. Reca,Atalanta,19,63,"TS, ES"
G. Pinto,Parma,19,63,"TS, ES"
O. Stijepović,Sampdoria,19,63,CC
Vinícius,Napoli,19,63,ATT
F. Colidio,Inter,19,63,ATT
G. Manfrin,Chievo Verona,19,62,"TS, DC"
L. Zanon,Fiorentina,19,62,"TS, ES"
J. Odgaard,Sassuolo,19,62,"ATT, ED"
A. Pinamonti,Frosinone,19,62,ATT
Pedro Neto,Lazio,19,62,"ATT, AS"
M. Léris,Chievo Verona,19,62,ATT
H. Traorè,Empoli,19,62,"COC, CC"
P. Beruatto,Juventus,19,62,TS
Vinicius,Bologna,19,62,POR
N. Belloni,Inter,19,61,"ED, AD"
G. Guerrieri,Lazio,19,61,POR
M. Adamonis,Lazio,19,61,POR
L. Matarese,Frosinone,19,61,ES
E. Vignato,Chievo Verona,19,61,COC
F. Rossi,Atalanta,19,60,POR
D. Voltan,Genoa,19,60,"AD, AS"
E. Besea,Frosinone,19,60,CC
S. Omeonga,Genoa,19,60,"CC, CDC"
T. Costantini,SPAL,19,60,"AD, AS, AT"
L. Polvani,Empoli,19,60,DC
Bruno Jordão,Lazio,19,60,CC
V. Millico,Torino,19,60,AS
G. Corbo,Bologna,19,60,DC
A. Bandini,Inter,19,59,"TD, ED"
M. Brunelli,Chievo Verona,19,59,POR
M. Meli,Fiorentina,19,58,AD
L. Gagliano,Cagliari,19,58,ATT
A. Varga,Sampdoria,19,57,DC
N. Contini,Napoli,19,57,POR
G. Poluzzi,SPAL,19,57,POR
A. Errico,Frosinone,19,57,"AT, COC"
W. Falcone,Sampdoria,19,56,POR
J. Cavagna,Atalanta,19,56,CDC
A. Diakhate,Fiorentina,19,56,CC
A. Jakupović,Empoli,19,56,"ATT, AT, AS"
N. Pejović,Empoli,19,56,DC
L. Markovic,Juventus,19,56,ATT
R. Criscuolo,Sampdoria,19,55,CC
G. Satalino,Sassuolo,19,55,POR
M. Leverbe,Sampdoria,19,55,DC
M. Said,Empoli,19,55,ATT
T. Krapikas,Sampdoria,19,54,POR
G. Meli,Empoli,19,52,POR
L. Benedetti,Sampdoria,19,52,CC
D. Thiam,SPAL,19,51,POR
G. Boccafoglia,SPAL,19,50,DC
Cristiano Ronaldo,Juventus,20,93,"ATT, AS"
G. Chiellini,Juventus,20,89,DC
K. Koulibaly,Napoli,20,89,DC
S. Handanovič,Inter,20,88,POR
D. Godín,Inter,20,88,DC
P. Dybala,Juventus,20,88,"COC, AD"
D. Mertens,Napoli,20,87,"AT, ATT"
L. Insigne,Napoli,20,87,"AT, AS, ATT"
M. Pjanić,Juventus,20,86,"CC, CDC"
L. Bonucci,Juventus,20,86,DC
W. Szczęsny,Juventus,20,86,POR
C. Immobile,Lazio,20,86,ATT
M. Škriniar,Inter,20,86,DC
A. Gómez,Atalanta,20,85,"COC, AT, ATT"
G. Higuaín,Juventus,20,85,ATT
B. Matuidi,Juventus,20,85,"CDC, CC"
Alex Sandro,Juventus,20,85,"TS, ES"
R. Lukaku,Inter,20,85,ATT
K. Manolas,Napoli,20,85,DC
Allan,Napoli,20,85,CC
M. Icardi,Inter,20,85,ATT
S. Milinković-Savić,Lazio,20,85,"CC, COC"
G. Donnarumma,Milan,20,85,POR
M. de Ligt,Juventus,20,85,DC
S. Sirigu,Torino,20,84,POR
Lucas Leiva,Lazio,20,84,CDC
E. Džeko,Roma,20,84,ATT
M. Mandžukić,Juventus,20,84,"ATT, AS"
José Callejón,Napoli,20,84,"ED, AD"
Douglas Costa,Juventus,20,84,"ES, AD, AS"
S. de Vrij,Inter,20,84,DC
Luis Alberto,Lazio,20,84,"COC, CC, AT"
J. Iličić,Atalanta,20,84,"AT, ATT"
G. Buffon,Juventus,20,83,POR
F. Quagliarella,Sampdoria,20,83,ATT
R. Nainggolan,Cagliari,20,83,"COC, CC"
S. Khedira,Juventus,20,83,"CC, CDC"
A. Ramsey,Juventus,20,83,"CC, COC"
J. Cuadrado,Juventus,20,83,"ED, AD"
F. Acerbi,Lazio,20,83,DC
A. Milik,Napoli,20,83,ATT
A. Rabiot,Juventus,20,83,"CC, CDC"
A. Romagnoli,Milan,20,83,DC
F. Bernardeschi,Juventus,20,83,"ED, COC"
Pau López,Roma,20,83,POR
Fabián,Napoli,20,83,"CC, CDC, COC"
Pepe Reina,Milan,20,82,POR
L. Biglia,Milan,20,82,"CDC, CC"
A. Kolarov,Roma,20,82,TS
M. Balotelli,Brescia,20,82,ATT
G. Bonaventura,Milan,20,82,"CC, AS"
M. Perin,Juventus,20,82,POR
Suso,Milan,20,82,"AD, AT"
A. Belotti,Torino,20,82,ATT
D. Rugani,Juventus,20,82,DC
T. Strakosha,Lazio,20,82,POR
D. Zapata,Atalanta,20,82,ATT
M. Politano,Inter,20,82,"ED, ATT"
A. Consigli,Sassuolo,20,81,POR
M. Parolo,Lazio,20,81,"CDC, CC"
N. Nkoulou,Torino,20,81,DC
A. Florenzi,Roma,20,81,"TD, AD, AS"
A. Cragno,Cagliari,20,81,POR
E. Can,Juventus,20,81,"CC, CDC"
P. Zieliński,Napoli,20,81,"CC, ES"
João Mário,Inter,20,81,"COC, CC"
A. Izzo,Torino,20,81,DC
M. Brozović,Inter,20,81,"CDC, CC"
L. Martínez,Inter,20,81,ATT
Ş. Radu,Lazio,20,80,DC
D. Ospina,Napoli,20,80,POR
F. Fazio,Roma,20,80,DC
D. Perotti,Roma,20,80,AS
M. Musacchio,Milan,20,80,DC
R. Rodríguez,Milan,20,80,"TS, DC"
S. Verdi,Napoli,20,80,"ES, AD"
L. Muriel,Atalanta,20,80,ATT
F. Ghoulam,Napoli,20,80,TS
S. Zaza,Torino,20,80,ATT
H. Çalhanoğlu,Milan,20,80,"AS, COC, CC"
Samu Castillejo,Milan,20,80,"ED, ES, CC"
E. Hysaj,Napoli,20,80,TD
J. Correa,Lazio,20,80,"AT, ATT, COC"
M. Vecino,Inter,20,80,CDC
M. Caldara,Milan,20,80,DC
Jony,Lazio,20,80,ES
K. Piątek,Milan,20,80,ATT
N. Barella,Inter,20,80,"CC, COC"
M. Lazzari,Lazio,20,80,ED
A. Mirante,Roma,20,79,POR
Borja Valero,Inter,20,79,"COC, CDC"
M. Škrtel,Atalanta,20,79,DC
D. Criscito,Genoa,20,79,"TS, DC"
A. Candreva,Inter,20,79,ED
K. Boateng,Fiorentina,20,79,"AT, CC"
K. Asamoah,Inter,20,79,TS
S. Lulić,Lazio,20,79,ES
Iago Falqué,Torino,20,79,"AT, AD"
J. Pastore,Roma,20,79,"CC, AS, AD"
G. Pezzella,Fiorentina,20,79,DC
Danilo,Juventus,20,79,"TD, TS"
M. Badelj,Fiorentina,20,79,"CDC, CC"
J. Murillo,Sampdoria,20,79,DC
L. Spinazzola,Roma,20,79,"ES, TS"
Mário Rui,Napoli,20,79,TS
D. Baselli,Torino,20,79,CC
R. Bentancur,Juventus,20,79,CC
L. Pellegrini,Roma,20,79,"CC, COC, CDC"
André Silva,Milan,20,79,ATT
F. Kessié,Milan,20,79,CC
R. Malinovskyi,Atalanta,20,79,"CC, COC, CDC"
Lucas Paquetá,Milan,20,79,"COC, CC"
F. Chiesa,Fiorentina,20,79,"AD, AT"
A. Masiello,Atalanta,20,78,DC
Gervinho,Parma,20,78,"AS, AD"
C. Ansaldi,Torino,20,78,"ES, TS"
F. Caicedo,Lazio,20,78,"AT, ATT"
V. Birsa,Cagliari,20,78,"COC, AD"
C. Zapata,Genoa,20,78,DC
M. Cáceres,Lazio,20,78,"DC, TD"
O. Karnezis,Napoli,20,78,POR
Rafael Tolói,Atalanta,20,78,DC
R. Soriano,Bologna,20,78,"COC, CC, ES"
K. Malcuit,Napoli,20,78,"TD, ED"
G. Ramírez,Sampdoria,20,78,COC
J. Veretout,Roma,20,78,"CC, CDC"
R. Freuler,Atalanta,20,78,CC
G. Defrel,Roma,20,78,"ATT, AD"
S. Meïté,Torino,20,78,"CC, CDC"
L. Pavoletti,Cagliari,20,78,ATT
R. Olsen,Roma,20,78,POR
B. Cristante,Roma,20,78,"CC, CDC, COC"
M. de Roon,Atalanta,20,78,"CC, CDC"
D. Berardi,Sassuolo,20,78,"AD, ATT"
R. Gagliardini,Inter,20,78,"CDC, CC"
R. De Paul,Udinese,20,78,"AT, CC, AS"
D. Laxalt,Milan,20,78,ES
E. Pulgar,Fiorentina,20,78,"CDC, CC"
J. Musso,Udinese,20,78,POR
N. Maksimović,Napoli,20,78,DC
Bastos,Lazio,20,78,DC
H. Hateboer,Atalanta,20,78,"ED, TD"
A. Meret,Napoli,20,78,POR
C. Ünder,Roma,20,78,"AD, ED"
Danilo,Bologna,20,77,DC
L. Schøne,Genoa,20,77,"CC, CDC"
Miguel Veloso,Hellas Verona,20,77,"CC, CDC"
S. De Maio,Udinese,20,77,DC
A. Poli,Bologna,20,77,"CC, CDC"
J. Kucka,Parma,20,77,"CC, CDC"
T. Rincón,Torino,20,77,"CC, CDC"
Rômulo,Genoa,20,77,"ED, CC, TD"
Pedro Obiang,Sassuolo,20,77,"CDC, CC"
R. Saponara,Genoa,20,77,COC
L. Tonelli,Napoli,20,77,DC
L. Castro,Cagliari,20,77,"CC, COC"
V. Chiricheș,Napoli,20,77,DC
A. Younes,Napoli,20,77,"ES, AS"
M. De Sciglio,Juventus,20,77,"TD, TS"
J. Lukaku,Lazio,20,77,"ES, TS"
M. Benassi,Fiorentina,20,77,CC
A. Petagna,SPAL,20,77,ATT
M. Sportiello,Atalanta,20,77,POR
G. Simeone,Fiorentina,20,77,ATT
J. Palomino,Atalanta,20,77,DC
A. Sanabria,Genoa,20,77,ATT
M. Pašalić,Atalanta,20,77,"CC, COC"
A. Marušić,Lazio,20,77,ED
K. Lasagna,Udinese,20,77,ATT
Alex Berenguer,Torino,20,77,"ES, ASA, AS"
O. Colley,Sampdoria,20,77,DC
E. Audero,Sampdoria,20,77,POR
D. Calabria,Milan,20,77,TD
S. Sensi,Inter,20,77,"CC, CDC"
N. Nández,Cagliari,20,77,"CC, CDC, ED"
Luiz Felipe,Lazio,20,77,DC
A. Barák,Udinese,20,77,"CC, COC"
S. Proto,Lazio,20,76,POR
B. Džemaili,Bologna,20,76,"CC, CDC, COC"
R. Klavan,Cagliari,20,76,DC
R. Palacio,Bologna,20,76,"ATT, COC"
D. Basta,Lazio,20,76,"TD, ED"
S. Bocchetti,Hellas Verona,20,76,DC
A. Ekdal,Sampdoria,20,76,"CC, CDC"
F. Borini,Milan,20,76,"AS, ED"
I. Radovanović,Genoa,20,76,"CDC, CC"
E. Berisha,SPAL,20,76,POR
Ł. Skorupski,Bologna,20,76,POR
M. Jajalo,Udinese,20,76,"CC, CDC"
M. Gabbiadini,Sampdoria,20,76,ATT
João Pedro,Cagliari,20,76,"AT, COC"
R. Inglese,Parma,20,76,ATT
Juan Jesus,Roma,20,76,"DC, TS"
S. Denswil,Bologna,20,76,DC
K. Linetty,Sampdoria,20,76,CC
P. Gollini,Atalanta,20,76,POR
F. Di Francesco,SPAL,20,76,"AS, AD"
Wallace,Lazio,20,76,DC
I. Pussetto,Udinese,20,76,"ATT, AD, ED"
M. Locatelli,Sassuolo,20,76,"CDC, CC"
T. Castagne,Atalanta,20,76,"ES, ED, TD"
R. Gosens,Atalanta,20,76,"ES, TS"
R. Mandragora,Udinese,20,76,"CC, CDC"
Dalbert,Inter,20,76,TS
G. Mancini,Roma,20,76,DC
T. Hernández,Milan,20,76,TS
R. Orsolini,Bologna,20,76,"COC, AD, ED"
P. Schick,Roma,20,76,"ATT, AT, AD"
N. Milenković,Fiorentina,20,76,"DC, TD"
L. Rigoni,Parma,20,75,"CC, CDC"
Rafael,Cagliari,20,75,POR
L. De Silvestri,Torino,20,75,"ED, TD"
A. Ranocchia,Inter,20,75,DC
A. Paloschi,SPAL,20,75,ATT
F. Caputo,Sassuolo,20,75,ATT
D. Santon,Roma,20,75,"TD, TS"
L. Sepe,Parma,20,75,POR
V. Berisha,Lazio,20,75,"ES, CC, COC"
E. Badu,Hellas Verona,20,75,"CDC, CC"
A. Ioniță,Cagliari,20,75,"CC, COC, CDC"
M. Gonalons,Roma,20,75,"CDC, CC"
M. Destro,Bologna,20,75,ATT
D. D'Ambrosio,Inter,20,75,"TD, TS"
Ł. Teodorczyk,Udinese,20,75,ATT
F. Santander,Bologna,20,75,ATT
C. Biraghi,Fiorentina,20,75,"TS, ES"
N. Sansone,Bologna,20,75,"ATT, COC, AS"
V. Eysseric,Fiorentina,20,75,"AS, AD"
Gabriel,Lecce,20,75,POR
A. Gomis,SPAL,20,75,POR
J. Kurtić,SPAL,20,75,"CC, COC"
S. Sturaro,Genoa,20,75,CC
A. Donnarumma,Brescia,20,75,ATT
K. Djidji,Torino,20,75,"DC, TS"
D. Bessa,Hellas Verona,20,75,"COC, CC"
A. Duncan,Sassuolo,20,75,CC
V. Lazaro,Inter,20,75,"TD, ED"
D. Cataldi,Lazio,20,75,"CC, CDC"
W. Troost-Ekong,Udinese,20,75,DC
S. Fofana,Udinese,20,75,"CC, CDC"
L. Lerager,Genoa,20,75,"CC, CDC"
S. Cristóforo,Fiorentina,20,75,"CDC, CC"
A. Grassi,Parma,20,75,CC
G. Tutino,Hellas Verona,20,75,"AT, AD, ATT"
G. Donsah,Bologna,20,75,CC
A. Conti,Milan,20,75,"ED, TD"
O. Aina,Torino,20,75,"ES, ED, TD"
J. Jankto,Sampdoria,20,75,"CC, ES"
M. Pjaca,Juventus,20,75,AS
A. Diawara,Roma,20,75,"CC, CDC"
A. Ounas,Napoli,20,75,"ES, AD, AT"
Y. Karamoh,Parma,20,75,"ED, AD"
I. Radu,Genoa,20,75,POR
C. Kouamé,Genoa,20,75,"ATT, AT"
M. Rog,Cagliari,20,75,CC
J. Kluivert,Roma,20,75,"AS, AD"
S. Tonali,Brescia,20,75,"CDC, CC"
Rafael Leão,Milan,20,75,ATT
Felipe,SPAL,20,74,DC
F. Magnanelli,Sassuolo,20,74,CDC
D. Padelli,Inter,20,74,POR
L. Cigarini,Cagliari,20,74,"CC, CDC"
S. Missiroli,SPAL,20,74,"CC, CDC"
J. Biabiany,Parma,20,74,"AD, AS, ED"
M. Valdifiori,SPAL,20,74,"CDC, CC"
M. Silvestri,Hellas Verona,20,74,POR
Sandro,Genoa,20,74,"CDC, CC"
J. Larsen,Udinese,20,74,"TD, DC, ED"
F. Đuričić,Sassuolo,20,74,"COC, AS"
K. Babacar,Sassuolo,20,74,ATT
L. Crisetig,Bologna,20,74,"CC, CDC"
B. Dabo,Fiorentina,20,74,"CC, CDC"
I. Nestorovski,Udinese,20,74,ATT
L. Krejčí,Bologna,20,74,"AS, ES"
A. Cornelius,Parma,20,74,ATT
